lemma	rank
et	1
sum	2
qui	3
que	4
in	5
non	6
hic	7
ille	8
tu	9
cum	10
ego	11
is	13
ad	14
ut	15
si	16
sui	17
omnis	18
nec	19
sed	20
a	21
ipse	22
possum	23
aut	24
magnus	25
ex	26
suus	27
do	28
quam	29
per	30
video	31
facio	32
dico	33
iam	34
atque	35
ac	36
alius	37
res	38
habeo	39
animus	40
meus	41
deus	42
multus	43
tuus	44
fero	45
de	46
ne	47
manus	48
nullus	49
nunc	50
nos	51
noster	52
unus	53
dies	54
nihil	55
tum	56
enim	57
tamen	58
idem	59
rex	60
nam	61
locus	62
venio	63
inter	64
pars	65
volo	66
etiam	67
bonus	68
ago	69
terra	70
pater	71
neque	72
domus	73
at	74
corpus	75
quoque	76
aliquis	77
totus	78
sic	79
iste	81
urbs	82
peto	83
iubeo	84
vir	85
bellum	86
vita	87
homo	88
tempus	89
magis	90
primus	91
ubi	92
hostis	93
an	94
mors	95
tam	96
eo	97
arma	98
superus	99
nisi	100
vinco	101
pono	102
dum	103
sine	104
tantus	105
teneo	106
causa	107
sequor	108
credo	109
accipio	110
virtus	111
ante	112
quaero	113
mitto	114
vis	115
amor	116
caelum	117
sub	118
nox	119
ita	120
regnum	121
populus	122
autem	123
caput	124
mare	125
quidam	126
mater	127
pro	128
quisquis	129
vos	130
capio	131
quia	132
duco	133
ergo	134
nomen	135
quidem	136
miser	137
fortuna	138
novus	139
gravis	140
vel	141
longus	142
parvus	143
relinquo	144
saepe	145
fio	146
os	147
alter	148
semper	149
ignis	151
modo	152
timeo	153
scelus	154
debeo	155
vivo	156
fatum	157
voco	158
altus	159
paro	160
miles	161
medius	162
inquam	163
post	164
audio	165
puto	166
annus	167
sto	168
vox	169
genus	170
refero	171
scio	172
mens	173
reddo	174
licet	175
solus	176
fugio	177
ullus	178
nemo	179
natura	180
mos	181
beneficium	182
pectus	183
fides	184
patior	185
cura	186
ira	187
verbum	188
prope	189
parens	190
puer	191
moveo	192
dolor	193
gens	194
modus	195
via	196
quisque	197
amicus	198
pes	199
imperium	200
labor	201
ingens	202
talis	203
parum	204
apud	205
oculus	206
unda	207
itaque	208
vultus	209
cado	210
natus	211
quis	212
traho	213
sanguis	214
metus	215
tantum	216
consilium	217
coniunx	218
amo	219
levis	220
duo	221
ferus	222
poena	223
castrum	224
frater	225
haud	226
malus	227
iaceo	228
liber	229
iter	230
ferrum	231
spes	232
puella	233
silva	234
bene	235
finis	236
gero	237
dux	239
premo	240
dominus	241
mons	242
uterque	243
saevus	244
litus	245
soleo	246
mille	247
equus	248
durus	249
cogo	250
numquam	251
primum	252
morior	253
carmen	254
telum	255
ratio	256
umbra	257
ars	258
tot	259
dexter	260
signum	261
laetus	262
qualis	263
lex	264
periculum	265
nascor	266
exercitus	267
pereo	268
ventus	269
audeo	270
contra	271
aqua	272
rapio	273
simul	274
tristis	275
munus	276
iuvenis	277
fama	278
adsum	279
quisquam	280
vero	280
par	281
vester	282
flumen	283
quicumque	284
certus	285
fortis	286
placeo	287
verto	288
servo	289
honor	290
dignus	291
cunctus	292
tollo	293
nego	294
vetus	295
eques	296
trado	297
flamma	298
lux	299
unde	300
redeo	301
sentio	302
aurum	303
cedo	304
quo	305
saxum	306
ve	307
aetas	308
felix	309
loquor	310
quantus	311
coepi	312
igitur	313
ius	314
muto	315
invenio	316
princeps	317
ops	318
recipio	319
sol	320
consul	321
orbis	322
turba	323
ager	324
solvo	325
vitium	326
vulnus	327
inde	328
senatus	329
utor	330
copia	331
opus	332
colo	333
votum	334
iugum	335
qua	336
tellus	337
numerus	338
cognosco	339
victor	340
satis	341
patria	342
seu	343
casus	344
frango	345
civitas	346
nosco	347
proelium	348
eripio	349
mundus	350
cursus	351
vix	352
navis	353
lacrima	354
humanus	355
mollis	356
maneo	357
agmen	358
sidus	359
gloria	360
diu	361
sive	362
tamquam	363
fuga	364
tutus	365
auris	366
alienus	367
huc	368
taceo	369
legio	370
ostendo	371
socius	372
prosum	373
ara	374
lumen	375
tego	376
turpis	377
voluptas	378
adhuc	379
gratia	380
iniuria	381
latus	382
dulcis	383
postquam	384
extremus	385
tectum	386
