rank	word	count
1	ann	55841
2	na	47172
3	tha	37977
4	agus	35308
5	air	32339
6	am	17088
7	bha	14430
8	anns	12809
9	aig	10865
10	gu	10573
11	de	8067
12	bho	8030
13	le	7832
14	chaidh	7797
15	baile	7695
16	mar	7561
17	ri	6153
18	seo	5908
19	nan	5880
20	sin	5806
21	daoine	5775
22	airson	5755
23	do	5693
24	san	5451
25	ach	4587
26	iomraidhean	4574
27	iad	4040
28	eadar	4004
29	h-alba	3818
30	fuireach	3744
31	beurla	3743
32	mu	3632
33	bailtean	3590
34	alba	3565
35	bhaile	3478
36	às	3440
37	suidhichte	3426
38	loch	3318
39	sa	3154
40	no	3087
41	robh	3026
42	a-mach	2961
43	leis	2933
44	aige	2888
45	chuimrigh	2852
46	cuideachd	2801
47	eile	2778
48	fhèin	2752
49	nuair	2721
50	tachartasan	2662
51	ainm	2653
52	gàidhlig	2619
53	linn	2604
54	den	2569
55	duine	2567
56	dùthcha	2527
57	deas	2496
58	gun	2494
59	neo	2488
60	bheil	2467
61	taobh	2451
62	eilean	2436
63	tuath	2425
64	ainmeil	2408
65	rugadh	2333
66	latha	2329
67	ceanglaichean	2323
68	bliadhna	2253
69	aonaichte	2239
70	gov	2239
71	os	2233
72	mòr	2204
73	àirde	2193
74	far	2176
75	roinn	2175
76	oilthigh	2158
77	return	2124
78	dèidh	2103
79	eil	2074
80	nam	2040
81	chan	2020
82	co	2017
83	ris	2016
84	bhliadhna	2005
85	chiad	2001
86	faisg	1988
87	dhan	1974
88	sgìre	1972
89	iar	1946
90	eachdraidh	1936
91	bhith	1922
92	dhen	1912
93	motha	1870
94	census	1824
95	prìomh-bhaile	1777
96	dhe	1773
97	rèir	1758
98	true	1744
99	bhon	1736
100	siorrachd	1734
101	t-ainm	1725
102	gus	1722
103	cionn	1714
104	ag	1708
105	cha	1700
106	rinn	1700
107	nàiseanta	1698
108	dà	1689
109	ceann	1675
110	àite	1673
111	beag	1646
112	stàitean	1638
113	mi	1632
114	dùn	1624
115	aon	1624
116	id	1612
117	cilemeatair	1592
118	fhuair	1581
119	ear	1581
120	mara	1570
121	math	1563
122	tarraing	1557
123	àm	1510
124	ìre	1490
125	dùthaich	1478
126	chuir	1469
127	stèidheachadh	1461
128	falbh	1453
129	caerdydd	1453
130	fad	1434
131	pàrtaidh	1431
132	fo	1401
133	nuadh	1401
134	nach	1388
135	name	1371
136	gur	1363
137	ons	1354
138	breithean	1345
139	cho	1308
140	function	1284
141	inbhir	1277
142	obair	1253
143	thug	1242
144	gach	1217
145	nas	1215
146	ged	1193
147	beinn	1187
148	chur	1176
149	ga	1164
150	background	1150
151	lunnainn	1146
152	còmhla	1141
153	cuid	1124
154	nobel	1124
155	title	1111
156	distance	1105
157	bàsan	1095
158	faclair	1076
159	chaochail	1076
160	aspx	1073
161	duais	1057
162	dha	1056
163	la	1049
164	ipa	1048
165	èideann	1037
166	value	1037
167	mhòr	1029
168	calculator	1024
169	lorg	1022
170	john	1016
171	national	1015
172	mac	1011
173	ruige	1000
174	chuid	994
175	text	992
176	ghàidhlig	984
177	aghaidh	983
178	en	979
179	dìreach	977
180	population	973
181	ùr	958
182	an-diugh	953
183	faidhle	950
184	mòran	947
185	nil	941
186	comhairle	936
187	dhùn	935
188	ro	932
189	aca	929
190	sgrìobh	911
191	bhuannaich	908
192	bu	904
193	thàinig	895
194	string	890
195	tro	881
196	sir	881
197	fear	879
198	link	879
199	abhainn	879
200	dùbhlachd	879
201	iain	864
202	dàrna	853
203	frame	841
204	bharrachd	830
205	dùthchannan	828
206	rìgh	827
207	smo	827
208	ciallachadh	826
209	glaschu	824
210	uair	823
211	seann	820
212	eaglais	819
213	bidh	815
214	taigh	814
215	oxford	810
216	rel	808
217	cuimris	801
218	obar	800
219	thogail	789
220	a-steach	784
221	port	780
222	faoilleach	780
223	se	775
224	th'ann	773
225	mìle	770
226	rìoghachd	769
227	cogadh	760
228	bliadhna-leum	759
229	cànan	757
230	wales	757
231	sgrìobhadh	756
232	false	754
233	scotland	748
234	fhathast	746
235	top	745
236	else	744
237	statistics	743
238	set	737
239	crìochan	734
240	dheathain	727
241	deireadh	726
242	chunntais-shluaigh	721
243	sam	719
244	bith	719
245	h-eileanan	717
246	t-sluagh	716
247	scottish	715
248	canar	715
249	thaobh	712
250	list	709
251	meadhan	706
252	dol	703
253	em	702
254	asp	702
255	office	702
256	mhòr-chuid	701
257	feadh	701
258	mongabay	698
259	don	698
260	es	697
261	thathar	695
262	iomadh	690
263	dheireadh	689
264	thoirt	686
265	uisge	682
266	riaghaltas	678
267	dàmhair	678
268	làidir	676
269	sgoil	676
270	àird	673
271	enwau	669
272	lleoedd	669
273	bedwyr	669
274	e-gymraeg	668
275	enwaucymru	668
276	chwilio	668
277	canolfan	668
278	parameter	668
279	key-statistics-for-unitary-authorities-in-wales	667
280	census-key-statistics-for-wales	667
281	ac	663
282	laideann	658
283	gabhail	652
284	contae	650
285	cleachdadh	648
286	stàite	645
287	trì	640
288	university	640
289	ghabh	639
290	spàinntis	638
291	sgàth	637
292	label	637
293	dhèanamh	634
294	a-rèir	632
295	leabhar	631
296	gleann	631
297	poblachd	628
298	press	626
299	facal	626
300	ghearmailt	625
301	thòisich	620
302	toirt	618
303	h-aibhne	617
304	match	616
305	pàirt	616
306	cèitean	615
307	urrainn	613
308	spàinne	613
309	thall	612
310	aice	611
311	page	610
312	result	610
313	freumhan	604
314	thogadh	599
315	laighe	598
316	names	597
317	coltach	597
318	frainge	594
319	fhàgail	593
320	distancecalculator	593
321	globefeed	593
322	error	590
323	index	590
324	deach	589
325	a-nis	587
326	coloimbia	587
327	sgìrean	586
328	gum	586
329	seòrsa	585
330	èirinn	582
331	module	579
332	gearmailtis	574
333	t-sultain	573
334	sna	572
335	suidheachadh	570
336	cur	569
337	leth	569
338	william	564
339	roinne	564
340	mus	563
341	nis	563
342	background-color	561
343	co-cheangailte	560
344	pàrlamaid	559
345	màrt	554
346	afraga	554
347	teaghlach	553
348	neach-poileataigs	553
349	bar	553
350	seachad	551
351	message	549
352	thaghadh	548
353	bhios	547
354	sasainn	545
355	oifigeil	543
356	ma	542
357	language	541
358	t-saoghail	540
359	beanntan	539
360	buaidh	538
361	sreath	537
362	esan	535
363	poileataigs	532
364	t-iuchar	531
365	beatha	529
366	giblean	527
367	uile	525
368	h-èireann	524
369	liosta	522
370	data	522
371	chruthachadh	521
372	eisimpleir	519
373	self	514
374	abertawe	512
375	àireamh	510
376	stàit	509
377	bheurla	508
378	gearran	508
379	sgitheanach	507
380	sònraichte	507
381	chèile	505
382	sgrìobhadair	505
383	jones	505
384	parameters	505
385	fhraing	504
386	dòigh	503
387	elseif	503
388	troigh	502
389	toiseach	500
390	hill	499
391	innis	498
392	beinne	494
393	ghlaschu	492
394	timcheall	491
395	lùnastal	490
396	rathad	489
397	measg	489
398	dheth	489
399	h-uile	486
400	albannach	485
401	format	484
402	bhiodh	484
403	chun	479
404	gaelic	478
405	history	478
406	dèanamh	473
407	cumanta	473
408	t-samhain	472
409	thomas	472
410	phàirt	471
411	colombia	471
412	cudromach	470
413	qid	469
414	bheinn	468
415	nochd	467
416	thèid	464
417	t-ògmhios	463
418	border	461
419	chuireadh	460
420	turas	460
421	al	459
422	james	459
423	mhuir	458
424	iar-dheas	458
425	naomh	457
426	utilities	456
427	uhi	455
428	gaidhlig	453
429	tric	452
430	chleachdadh	452
431	iar-thuath	452
432	sàs	452
433	faic	451
434	athair	451
435	fraingis	450
436	caisteal	450
437	talk	449
438	row	449
439	spàinn	444
440	info	444
441	scope	443
442	ionadail	439
443	chlàradh	438
444	david	436
445	dh'fhàs	435
446	mullach	435
447	mediawiki	430
448	wikitable	429
449	bruidhinn	427
450	thairis	426
451	british	425
452	col	424
453	fhaighinn	423
454	imdb	423
455	el	421
456	bheag	420
457	phòs	420
458	thu	419
459	stòrlann	419
460	vertical-align	416
461	tìle	416
462	edit	414
463	sealladh	414
464	bàs	414
465	prefix	413
466	ceimigeachd	412
467	bheachd	410
468	chithear	408
469	leabhraichean	408
470	tron	403
471	chionn	402
472	siar	401
473	rud	400
474	rinneadh	400
475	lang	400
476	bhall	399
477	fada	397
